"","year","geography","housing_price_index","consumer_price_index","excluding_energy_consumer_index","energy_consumer_index","water_index","electricity_index","gdp","immigrants","emigrants","avg_hourly_wage","population","5-year_mortgage_rate","mortgage_interest_paid","bachelor_avg_rent","1-bedroom_avg_rent","2-bedroom_avg_rent","3-bedroom_avg_rent","all_avg_rent","bachelor_vacancy_rate","1-bedroom_vacancy_rate","2-bedroom_vacancy_rate","3-bedroom_vacancy_rate","all_vacancy_rate","bachelor_rental_supply","1-bedroom_rental_supply","2-bedroom_rental_supply","3-bedroom_rental_supply","all_rental_supply","gdp_change","gdp_pct_change","gdp_per_capita","gdp_per_capita_change","gdp_per_capita_pct_change","housing_price_pct_change","five_year_mortgage_change","consumer_price_pct_change","population_pct_change","immigration_pct_change","wage_pct_change","room_type","vacancy_rate","avg_rent","rental_supply","rental_supply_per_person","rental_supply_per_person_pct_change","rental_supply_pct_change","mortgage_interest_paid_cpi_adj","mortgage_interest_paid_cpi_pop_adj","avg_rent_cpi_adj","avg_rent_cpi_adj_change","avg_rent_cpi_adj_pct_change","avg_rent_change","avg_rent_pct_change","vacancy_change"
"22",2001,"Newfoundland and Labrador",50.1285714285714,97.7714285714286,97.1285714285714,102.457142857143,77.8,97.8142857142857,34978800000.0221,570,921,21.065,521583,6.64,2.46e+08,404,462,530,528,499,8.5,3.3,2.5,1.6,3.3,568,1611,3219,567,5965,NA,NA,67062.768533526,NA,NA,NA,NA,NA,NA,NA,NA,"1-bedroom",3.3,462,1611,3.08867428578002,NA,NA,251607247.223846,482.391579525877,472.530683810637,NA,NA,NA,NA,NA
"23",2001,"Newfoundland and Labrador",50.1285714285714,97.7714285714286,97.1285714285714,102.457142857143,77.8,97.8142857142857,34978800000.0221,570,921,21.065,521583,6.64,2.46e+08,404,462,530,528,499,8.5,3.3,2.5,1.6,3.3,568,1611,3219,567,5965,NA,NA,67062.768533526,NA,NA,NA,NA,NA,NA,NA,NA,"2-bedroom",2.5,530,3219,6.17159685035747,NA,NA,251607247.223846,482.391579525877,542.08065458796,NA,NA,NA,NA,NA
"24",2001,"Newfoundland and Labrador",50.1285714285714,97.7714285714286,97.1285714285714,102.457142857143,77.8,97.8142857142857,34978800000.0221,570,921,21.065,521583,6.64,2.46e+08,404,462,530,528,499,8.5,3.3,2.5,1.6,3.3,568,1611,3219,567,5965,NA,NA,67062.768533526,NA,NA,NA,NA,NA,NA,NA,NA,"3-bedroom",1.6,528,567,1.08707530728571,NA,NA,251607247.223846,482.391579525877,540.035067212157,NA,NA,NA,NA,NA
"25",2001,"Newfoundland and Labrador",50.1285714285714,97.7714285714286,97.1285714285714,102.457142857143,77.8,97.8142857142857,34978800000.0221,570,921,21.065,521583,6.64,2.46e+08,404,462,530,528,499,8.5,3.3,2.5,1.6,3.3,568,1611,3219,567,5965,NA,NA,67062.768533526,NA,NA,NA,NA,NA,NA,NA,NA,"all",3.3,499,5965,11.4363389911098,NA,NA,251607247.223846,482.391579525877,510.374050263004,NA,NA,NA,NA,NA
"26",2001,"Nova Scotia",66.6714285714286,97.1285714285714,96.6428571428571,100.728571428571,96.8428571428571,99.7,57489800000.0274,2688,2475,20.3507142857143,933318,6.64,6.26e+08,486,537,645,829,608,3.4,3,3.7,2.4,3.3,3125,15950,21241,3331,43647,NA,NA,61597.2262401747,NA,NA,NA,NA,NA,NA,NA,NA,"bachelor",3.4,486,3125,3.34826929299553,NA,NA,644506545.080159,690.554071688491,500.367701132519,NA,NA,NA,NA,NA
"27",2001,"Nova Scotia",66.6714285714286,97.1285714285714,96.6428571428571,100.728571428571,96.8428571428571,99.7,57489800000.0274,2688,2475,20.3507142857143,933318,6.64,6.26e+08,486,537,645,829,608,3.4,3,3.7,2.4,3.3,3125,15950,21241,3331,43647,NA,NA,61597.2262401747,NA,NA,NA,NA,NA,NA,NA,NA,"1-bedroom",3,537,15950,17.0895664714492,NA,NA,644506545.080159,690.554071688491,552.875422856302,NA,NA,NA,NA,NA
"28",2001,"Nova Scotia",66.6714285714286,97.1285714285714,96.6428571428571,100.728571428571,96.8428571428571,99.7,57489800000.0274,2688,2475,20.3507142857143,933318,6.64,6.26e+08,486,537,645,829,608,3.4,3,3.7,2.4,3.3,3125,15950,21241,3331,43647,NA,NA,61597.2262401747,NA,NA,NA,NA,NA,NA,NA,NA,"2-bedroom",3.7,645,21241,22.7585881768058,NA,NA,644506545.080159,690.554071688491,664.068245330196,NA,NA,NA,NA,NA
"29",2001,"Nova Scotia",66.6714285714286,97.1285714285714,96.6428571428571,100.728571428571,96.8428571428571,99.7,57489800000.0274,2688,2475,20.3507142857143,933318,6.64,6.26e+08,486,537,645,829,608,3.4,3,3.7,2.4,3.3,3125,15950,21241,3331,43647,NA,NA,61597.2262401747,NA,NA,NA,NA,NA,NA,NA,NA,"3-bedroom",2.4,829,3331,3.56898720478979,NA,NA,644506545.080159,690.554071688491,853.507868804236,NA,NA,NA,NA,NA
"30",2001,"Nova Scotia",66.6714285714286,97.1285714285714,96.6428571428571,100.728571428571,96.8428571428571,99.7,57489800000.0274,2688,2475,20.3507142857143,933318,6.64,6.26e+08,486,537,645,829,608,3.4,3,3.7,2.4,3.3,3125,15950,21241,3331,43647,NA,NA,61597.2262401747,NA,NA,NA,NA,NA,NA,NA,NA,"all",3.3,608,43647,46.7654111460403,NA,NA,644506545.080159,690.554071688491,625.974408001177,NA,NA,NA,NA,NA
"31",2001,"Ontario",59.7785714285714,98.0928571428571,97.5571428571428,103.321428571429,93.75,89.5428571428571,1010263500000.02,232958,45540,24.3771428571429,11961546,6.64,1.2808e+10,623,746,861,1039,820,2.2,1.7,1.7,1.6,1.7,42134,249058,290045,66668,647905,NA,NA,84459.2747459248,NA,NA,NA,NA,NA,NA,NA,NA,"bachelor",2.2,623,42134,3.52245437170078,NA,NA,13057015946.989,1091.58263881517,635.112502730649,NA,NA,NA,NA,NA
"32",2001,"Ontario",59.7785714285714,98.0928571428571,97.5571428571428,103.321428571429,93.75,89.5428571428571,1010263500000.02,232958,45540,24.3771428571429,11961546,6.64,1.2808e+10,623,746,861,1039,820,2.2,1.7,1.7,1.6,1.7,42134,249058,290045,66668,647905,NA,NA,84459.2747459248,NA,NA,NA,NA,NA,NA,NA,NA,"1-bedroom",1.7,746,249058,20.821556009566,NA,NA,13057015946.989,1091.58263881517,760.503895725624,NA,NA,NA,NA,NA
"33",2001,"Ontario",59.7785714285714,98.0928571428571,97.5571428571428,103.321428571429,93.75,89.5428571428571,1010263500000.02,232958,45540,24.3771428571429,11961546,6.64,1.2808e+10,623,746,861,1039,820,2.2,1.7,1.7,1.6,1.7,42134,249058,290045,66668,647905,NA,NA,84459.2747459248,NA,NA,NA,NA,NA,NA,NA,NA,"2-bedroom",1.7,861,290045,24.2481197664583,NA,NA,13057015946.989,1091.58263881517,877.739750964829,NA,NA,NA,NA,NA
"34",2001,"Ontario",59.7785714285714,98.0928571428571,97.5571428571428,103.321428571429,93.75,89.5428571428571,1010263500000.02,232958,45540,24.3771428571429,11961546,6.64,1.2808e+10,623,746,861,1039,820,2.2,1.7,1.7,1.6,1.7,42134,249058,290045,66668,647905,NA,NA,84459.2747459248,NA,NA,NA,NA,NA,NA,NA,NA,"3-bedroom",1.6,1039,66668,5.57352703404727,NA,NA,13057015946.989,1091.58263881517,1059.20046603073,NA,NA,NA,NA,NA
